2026-02-09 Produce Processing Report
(generated 2026-02-07 19:21)
 
Total cases: 199
""
task,instruction,case quantity,item,notes,check in notes
Process on ground floor,0 - bag if not sleeved,4,Herbs-chives #1001098,,
Process on ground floor,0 - bag if not sleeved,3,Herbs-oregano #1001099,,
Process on ground floor,0 - bag if not sleeved,6,Herbs-rosemary #1001093,,
Process on ground floor,0 - bag if not sleeved,3,Herbs-sage #1001096,,
Process on ground floor,0 - bag if not sleeved,6,Herbs-thyme #1001090,,
Process on ground floor,0 - mix colors,2,Turnips-various loose organic #2502295,,
Process on ground floor,0 - transfer bags to yellow crates,12,"Micro greens ""Perfect Mix"" perfect foods organic #2508683",,
Process on ground floor,0 - transfer bags to yellow crates,12,Micro greens Arugula perfect foods organic #2508681,,
Process on ground floor,0 - transfer bags to yellow crates,12,Micro greens snow pea perfect foods organic #1001483,,
Process on ground floor,0 - transfer bags to yellow crates,12,Sprouts-sunflower 4oz organic #1000230,,
Top Priority,1 - organic twistie,3,Cabbage-napa green organic #1000061,,
Top Priority,1 - organic twistie,5,Fennel- organic twistie #1000003,,
Top Priority,1 - organic twistie,2,Cabbage-napa green organic #1000061,,
Top Priority,1 - organic twistie,2,Lettuce-boston/butter green/red organic #1000118,,
Top Priority,1 - organic twistie,2,Lettuce-green leaf organic #2501572,,
Top Priority,1 - organic twistie,4,Lettuce-romaine green organic #2501576,,
Top Priority,1 - red twisties,2,Dill- conventional Red Twisty #1001663,,
Top Priority,1 - unbunch/remove rubber bands,2,Daikon-white organic #1000077,,
Top Priority,"1 - USE ORIGINAL TWISTIE, DISPLAY VERTICALLY",1,Lettuce-red leaf organic #2501574,,
Top Priority,1 - write: rubber bands and twisties on box,10,Leeks- organic #1000114,,
Top Priority,1- red twisties,6,Scallions.- red twistie or plu4068 #1001595,,
Next Priority,"2 - 
meyer lemon label UNLESS prelabeled",2,Lemons-meyer label organic #1000507,,
Next Priority,2 - band cups,4,Peppers-mini sweet organic #1000668,,
Next Priority,2 - blank label,9,Oro blanco. #1000706,,
Next Priority,2 - blank label unless prelabeled,9,Lemons.- conventional (blank sticker) #1000291,,
Next Priority,2 - org white label unless pre-labeled,8,Peppers-red bell label organic #1000178,,
Next Priority,2 - star label,3,Pears- Asian Evergreen Orchard star sticker #2510283,,
Next Priority,2 - star label,9,Oranges- navel heirloom organic #1001648,,
Not Refrigerated,3 - org white label,20,Shallots- organic #1000823,,
Not Refrigerated,3 - organic label unless already labeled,4,Onion- sweet organic #1000169,,
Not Refrigerated,3 - white organic label,14,Onion-red organic (label or no label) #1000149,,
Do by belt or other area,4 - UPC label,1,"Bulbs-  tete a tete 4.5"" pesticide free #1001718",,
Do by belt or other area,4 - UPC label,1,"Plants- bulbs crocus 4.5"" #1001716",,
Do by belt or other area,4 - UPC label,1,"Plants- bulbs mini Iris 4.5"" #1001717",,
Do by belt or other area,4 - UPC label,1,"Plants-bulbs hyacinth 4.5"" pesticide free #2500033",,
,bag if not sleeved,2,Herbs-tarragon #1001092,,
